device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 30000 of 84500 pairs per epoch (10.7 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6_last.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 8e-05, epoch counter from 0)
resumed from weights/driftsense_p6_last.pt (epoch 0, best 0.299px)
epoch 2: loss 0.3410 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 6.7 min
  e3 [50/1875] loss 0.332 focal 0.241 off 0.0907 | batch median err 1.7px | 72.3 img/s | lr 6.14e-05
  e3 [100/1875] loss 0.338 focal 0.242 off 0.0964 | batch median err 1.8px | 74.3 img/s | lr 6.20e-05
  e3 [150/1875] loss 0.332 focal 0.236 off 0.0960 | batch median err 1.5px | 75.1 img/s | lr 6.26e-05
  e3 [200/1875] loss 0.343 focal 0.245 off 0.0981 | batch median err 1.2px | 75.4 img/s | lr 6.32e-05
  e3 [250/1875] loss 0.351 focal 0.253 off 0.0980 | batch median err 1.3px | 75.7 img/s | lr 6.38e-05
  e3 [300/1875] loss 0.349 focal 0.251 off 0.0979 | batch median err 1.3px | 75.8 img/s | lr 6.44e-05
  e3 [350/1875] loss 0.346 focal 0.248 off 0.0979 | batch median err 1.1px | 75.9 img/s | lr 6.50e-05
  e3 [400/1875] loss 0.346 focal 0.248 off 0.0977 | batch median err 1.0px | 76.0 img/s | lr 6.55e-05
  e3 [450/1875] loss 0.344 focal 0.247 off 0.0969 | batch median err 3.6px | 76.0 img/s | lr 6.61e-05
  e3 [500/1875] loss 0.349 focal 0.251 off 0.0973 | batch median err 3.0px | 76.1 img/s | lr 6.66e-05
  e3 [550/1875] loss 0.348 focal 0.250 off 0.0978 | batch median err 1.7px | 76.1 img/s | lr 6.72e-05
  e3 [600/1875] loss 0.345 focal 0.248 off 0.0976 | batch median err 1.2px | 76.2 img/s | lr 6.77e-05
  e3 [650/1875] loss 0.344 focal 0.247 off 0.0978 | batch median err 1.4px | 76.2 img/s | lr 6.82e-05
  e3 [700/1875] loss 0.345 focal 0.247 off 0.0979 | batch median err 1.3px | 76.2 img/s | lr 6.87e-05
  e3 [750/1875] loss 0.344 focal 0.246 off 0.0980 | batch median err 1.7px | 76.2 img/s | lr 6.92e-05
  e3 [800/1875] loss 0.346 focal 0.247 off 0.0987 | batch median err 1.3px | 76.2 img/s | lr 6.97e-05
  e3 [850/1875] loss 0.343 focal 0.245 off 0.0983 | batch median err 1.8px | 76.3 img/s | lr 7.02e-05
  e3 [900/1875] loss 0.342 focal 0.244 off 0.0984 | batch median err 1.7px | 76.3 img/s | lr 7.07e-05
  e3 [950/1875] loss 0.345 focal 0.246 off 0.0987 | batch median err 1.0px | 76.3 img/s | lr 7.11e-05
  e3 [1000/1875] loss 0.344 focal 0.246 off 0.0984 | batch median err 1.7px | 76.3 img/s | lr 7.16e-05
  e3 [1050/1875] loss 0.344 focal 0.246 off 0.0982 | batch median err 1.3px | 76.3 img/s | lr 7.20e-05
  e3 [1100/1875] loss 0.344 focal 0.246 off 0.0981 | batch median err 1.5px | 76.3 img/s | lr 7.25e-05
  e3 [1150/1875] loss 0.343 focal 0.245 off 0.0979 | batch median err 1.7px | 76.3 img/s | lr 7.29e-05
