pair_id,cand,err,zncc,zncc_rank,zncc_dog,zncc_grad,zncc_clip
test_B_00000121,0,0.9381918522238719,0.31154417991638184,0.22262758016586304,0.5357989072799683,0.15746407210826874,0.3133360743522644
test_B_00000121,1,796.8435625895053,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000121,2,3.6412122854482214,0.09609407186508179,0.05282014235854149,0.1523178219795227,0.04922856017947197,0.09632596373558044
test_B_00000118,0,1.545545814587514,0.7168235182762146,0.06852878630161285,0.8495734930038452,0.41698408126831055,0.722359299659729
test_B_00000118,1,409.8940564561176,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000119,0,605.4660603938801,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000119,1,0.24275829859906345,0.2286292016506195,0.04657597839832306,0.4325407147407532,0.17934772372245789,0.23087362945079803
test_B_00000119,2,0.9604950575657163,0.24756170809268951,0.04544221609830856,0.4835783839225769,0.18394845724105835,0.2489609271287918
test_B_00000122,0,1.5550865404429528,0.6814863681793213,0.09833122789859772,0.7644490003585815,0.44908225536346436,0.6806598901748657
test_B_00000122,1,1.5253503613442223,0.6710563898086548,0.0875120609998703,0.76478511095047,0.4469849765300751,0.670242965221405
test_B_00000123,0,0.7518081571754434,0.4141194224357605,0.05963975191116333,0.5140219330787659,0.31020304560661316,0.41686442494392395
test_B_00000123,1,0.6213444066297281,0.4141473174095154,0.0591115839779377,0.5136251449584961,0.3097725212574005,0.41686224937438965
test_B_00000123,2,357.14981923444145,0.21199968457221985,0.026484033092856407,0.05582904815673828,0.2605186700820923,0.2180982232093811
test_B_00000124,0,0.6405390220601529,0.739824652671814,0.30758097767829895,0.7736303210258484,0.46572571992874146,0.7491396069526672
test_B_00000124,1,588.0632084302749,0.5046820640563965,0.031021395698189735,0.13762414455413818,0.1932610720396042,0.5159606337547302
test_B_00000124,2,671.8211464534611,0.46502622961997986,0.028778038918972015,0.08811330795288086,0.20209833979606628,0.47464677691459656
test_B_00000125,0,0.6138949707430559,0.3353160321712494,0.1844402253627777,0.5708104968070984,0.14391927421092987,0.33580178022384644
test_B_00000125,1,794.3423493146455,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000125,2,433.2766733721056,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000126,0,767.5753452818444,0.3611621558666229,0.20961441099643707,0.6283388733863831,0.10130727291107178,0.36297786235809326
test_B_00000126,1,791.9667352238133,0.26420339941978455,0.20197831094264984,0.45409318804740906,0.09886182844638824,0.26539161801338196
test_B_00000126,2,433.95067087147845,0.387735515832901,0.13225634396076202,0.6357719302177429,0.08890581130981445,0.389601469039917
test_B_00000127,0,901.1187677707825,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000127,1,804.7449622303857,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000127,2,891.5642516328654,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000128,0,481.7818699890711,0.5427212119102478,0.14850565791130066,0.569121241569519,0.5883879065513611,0.5445253252983093
test_B_00000128,1,0.9563822493089544,0.7597454786300659,0.25616273283958435,0.8510479927062988,0.7344976663589478,0.7622025609016418
test_B_00000129,0,543.8523589513744,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000129,1,0.7568615380599396,0.5638167262077332,0.38773566484451294,0.7740941047668457,0.2554762363433838,0.5693119168281555
test_B_00000129,2,543.08065894754,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000130,0,1.4288555041013578,0.42137497663497925,0.05135946348309517,0.5222655534744263,0.36535221338272095,0.4299589991569519
test_B_00000130,1,67.42236556302116,0.0941530168056488,0.0346323661506176,0.031115595251321793,0.1355055570602417,0.09829049557447433
test_B_00000130,2,653.4810644452924,0.1984412968158722,0.03583109378814697,0.14189019799232483,0.1948026567697525,0.20720864832401276
test_B_00000131,0,572.3951697487794,0.326636403799057,0.1504952311515808,0.5783358216285706,0.11029169708490372,0.3273487389087677
test_B_00000131,1,476.0381039308437,0.03838138282299042,0.023504341021180153,0.029619546607136726,0.020713772624731064,0.0375068336725235
test_B_00000131,2,1.5595120978181296,0.20377376675605774,0.08483132719993591,0.4081146717071533,0.04558252915740013,0.2038031667470932
test_B_00000132,0,0.6641857313779495,0.870029866695404,0.20325203239917755,0.9255855679512024,0.7570759057998657,0.8725164532661438
test_B_00000132,1,745.943759346381,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000133,0,36.30216524106286,0.43024569749832153,0.2472555786371231,0.7106937170028687,0.23483102023601532,0.4402640759944916
test_B_00000133,1,278.90594498044646,0.5630182027816772,0.28777259588241577,0.7670590877532959,0.3739100396633148,0.5714491605758667
test_B_00000133,2,1170.6397556737847,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000134,0,1.8174800837411833,0.597122073173523,0.14580515027046204,0.8215150833129883,0.3670268654823303,0.5995669364929199
test_B_00000134,1,735.6603698997135,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000135,0,55.441832568388804,0.6021031141281128,0.07044830918312073,0.7574636340141296,0.25163334608078003,0.6040681004524231
test_B_00000135,1,294.8611658004766,0.02932995930314064,0.02529555931687355,0.04990968480706215,0.03693670779466629,0.0291062630712986
test_B_00000136,0,0.6290285534549666,0.7494208812713623,0.2771517336368561,0.8669476509094238,0.6980226039886475,0.7547999620437622
test_B_00000136,1,928.3126889267799,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000136,2,933.3855495315851,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000137,0,1.226167433367519,0.7357057332992554,0.4841679334640503,0.8936393857002258,0.40367215871810913,0.747736930847168
test_B_00000137,1,591.0734325974905,0.30516737699508667,0.1099502444267273,0.45533183217048645,0.04243673011660576,0.31132954359054565
test_B_00000137,2,330.4356425418976,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000140,0,0.4786255632763151,0.8717074990272522,0.22819001972675323,0.9453298449516296,0.7774040699005127,0.8765183687210083
test_B_00000140,1,794.7890681084292,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000141,0,0.7921102276690531,0.6639358997344971,0.1399945467710495,0.7981694936752319,0.4582473039627075,0.6701121926307678
test_B_00000141,1,656.4335730289737,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000141,2,640.2904602552056,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000138,0,0.9837169059508217,0.39637458324432373,0.13224807381629944,0.6655916571617126,0.302611768245697,0.4036341905593872
test_B_00000138,1,600.3941504859062,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000138,2,523.5069202508653,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000139,0,667.4665743954728,0.3311087489128113,0.09969495236873627,0.5822830200195312,0.18391050398349762,0.3334190845489502
test_B_00000139,1,794.3444242413283,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000139,2,292.53079927514614,0.035637643188238144,0.017254626378417015,0.034676361829042435,0.018359044566750526,0.03573516756296158
test_B_00000142,0,508.92955375262227,0.4995107352733612,0.2783365249633789,0.799432635307312,0.2312072068452835,0.5069789886474609
test_B_00000142,1,121.3809861954773,0.3053308427333832,0.14918790757656097,0.5450626015663147,0.06979046016931534,0.31140702962875366
test_B_00000142,2,900.2732684898525,0.05316850543022156,0.034072939306497574,0.08952123671770096,0.02291811816394329,0.05355552211403847
test_B_00000143,0,878.6076393321007,0.4382455348968506,0.04689542204141617,0.5439265966415405,0.10585592687129974,0.4381953775882721
test_B_00000143,1,580.3033278296936,0.4171551764011383,0.07767179608345032,0.6678982973098755,0.11728560924530029,0.4188529849052429
test_B_00000146,0,2.338652767707014,0.7332651019096375,0.1288544237613678,0.866018533706665,0.4207271933555603,0.7336327433586121
test_B_00000147,0,806.179311172229,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000147,1,697.2698449204656,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000147,2,951.4964270883513,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000144,0,0.6946245713543808,0.7083507180213928,0.4250958561897278,0.8971694111824036,0.7400040626525879,0.7094987034797668
test_B_00000144,1,1.6461518077883976,0.19491174817085266,0.14926204085350037,0.1384999305009842,0.5633085370063782,0.20001836121082306
test_B_00000144,2,1.2096735802613892,0.1460943967103958,0.08213763684034348,0.17719130218029022,0.5681008696556091,0.14340156316757202
test_B_00000145,0,1.1104010951736383,0.7040034532546997,0.22266331315040588,0.7898409962654114,0.5793845057487488,0.7078654170036316
test_B_00000145,1,833.8822687422113,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000145,2,813.9610694434336,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000148,0,0.7729407391292396,0.8160247802734375,0.1960291713476181,0.9168872237205505,0.7157068252563477,0.8190718293190002
test_B_00000148,1,638.1766052339284,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000149,0,2.6328598499395475,0.5847926735877991,0.18885332345962524,0.8119091391563416,0.6491339206695557,0.5822446346282959
test_B_00000149,1,665.5721336757441,0.3244226276874542,0.05471688136458397,0.3650895953178406,0.4450768530368805,0.325504332780838
test_B_00000150,0,2.2812855312592024,0.7693420052528381,0.09479091316461563,0.8510310649871826,0.4310227036476135,0.7760449051856995
test_B_00000150,1,335.22235249827605,0.6397436857223511,0.15345272421836853,0.8085084557533264,0.26621297001838684,0.6438426971435547
test_B_00000151,0,3.454145342734077,0.4118797481060028,0.07970590144395828,0.663735032081604,0.23390324413776398,0.4133211076259613
test_B_00000151,1,537.9499619295431,0.3019835650920868,0.04681899771094322,0.46456393599510193,0.15731336176395416,0.30316972732543945
test_B_00000151,2,687.1183143237828,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000152,0,1.1908022333714052,0.8784725069999695,0.292197585105896,0.9439740777015686,0.6804340481758118,0.8848806619644165
test_B_00000152,1,783.9756062809282,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000152,2,547.3810746959622,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000153,0,0.5952861926877864,0.5575430989265442,0.33590903878211975,0.8308387994766235,0.2712985575199127,0.562239408493042
test_B_00000153,1,0.9690799664532913,0.06286220997571945,0.04315667599439621,0.09508448839187622,0.037825893610715866,0.06293147057294846
test_B_00000153,2,506.1032180511632,0.054139912128448486,0.029963688924908638,0.06703660637140274,0.024375643581151962,0.05405985563993454
test_B_00000156,0,1.102545718307517,0.5433407425880432,0.28830480575561523,0.7171333432197571,0.3422367572784424,0.5454845428466797
test_B_00000156,1,557.814043293655,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000156,2,744.6738757342085,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000157,0,2.893343549933117,0.5412071943283081,0.2127053439617157,0.7942274212837219,0.45240235328674316,0.5432486534118652
test_B_00000157,1,312.59681742306367,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000157,2,299.9006136471897,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000158,0,2.0084435946430186,0.44390133023262024,0.057394396513700485,0.6291501522064209,0.3168816566467285,0.44653913378715515
test_B_00000158,1,1087.9229007546517,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000158,2,285.34806836120435,0.17718462646007538,0.04341474920511246,0.32288965582847595,0.1478092521429062,0.17812271416187286
test_B_00000159,0,2.249843562542235,0.21535931527614594,0.019624970853328705,0.324017196893692,0.1503642052412033,0.21734580397605896
test_B_00000159,1,604.7515630771169,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000159,2,28.384303418443356,0.11200063675642014,0.021556032821536064,0.09730776399374008,0.0778070017695427,0.11348436027765274
test_B_00000154,0,1.0996961910433054,0.458318293094635,0.09235679358243942,0.6568667888641357,0.3192085921764374,0.4581226110458374
test_B_00000154,1,803.9606370915454,0.3743066191673279,0.04725290834903717,0.4838455617427826,0.2770627439022064,0.3730606138706207
test_B_00000154,2,807.1843373097339,0.3670218884944916,0.04145009070634842,0.4698452651500702,0.2764277458190918,0.3647686541080475
test_B_00000155,0,0.8265552694473494,0.35338371992111206,0.03558669611811638,0.5394014120101929,0.17330831289291382,0.3495997190475464
test_B_00000155,1,884.0067894879032,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000155,2,908.7193960524397,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000160,0,0.6491031546859263,0.8267261981964111,0.2908751666545868,0.9017899036407471,0.7939517498016357,0.8290083408355713
test_B_00000160,1,595.1208991567329,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000160,2,960.2200056527728,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000161,0,0.8439195485010526,0.7296680808067322,0.09318573027849197,0.8460249304771423,0.5229282975196838,0.7353158593177795
test_B_00000161,1,728.4037716735287,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000166,0,1.9406183226532667,0.5721554160118103,0.04278222471475601,0.7019418478012085,0.31571510434150696,0.5743546485900879
test_B_00000166,1,295.45542261074013,0.46682310104370117,0.055446695536375046,0.6484361290931702,0.2840432822704315,0.46314743161201477
test_B_00000167,0,356.0738950234475,0.46708038449287415,0.12395849823951721,0.7636038661003113,0.1722504198551178,0.4673836827278137
test_B_00000167,1,704.9416649277048,0.5376981496810913,0.07250223308801651,0.7626028656959534,0.1250714808702469,0.536506712436676
test_B_00000162,0,37.09793652901591,0.21668998897075653,0.08729299902915955,0.5016656517982483,0.11127670109272003,0.2179807722568512
test_B_00000162,1,967.7958967254882,0.20821335911750793,0.08725263923406601,0.49147263169288635,0.09744703024625778,0.21043042838573456
test_B_00000162,2,687.893104876674,0.2667889893054962,0.09724284708499908,0.46301499009132385,0.1329222470521927,0.26827186346054077
test_B_00000163,0,0.6888091637592603,0.4635792374610901,0.05932430550456047,0.6397616267204285,0.3193210959434509,0.4630606472492218
test_B_00000163,1,712.3553781856585,0.08688385784626007,0.0236740093678236,0.10868747532367706,0.0713762417435646,0.08626684546470642
test_B_00000163,2,1019.2767301167288,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000164,0,0.5414708437977797,0.9167998433113098,0.4120945930480957,0.9621543884277344,0.8413379192352295,0.9193865060806274
test_B_00000164,1,641.3984504081126,0.8440894484519958,0.24664424359798431,0.9044159650802612,0.7554582357406616,0.8458344340324402
test_B_00000164,2,378.8668137780761,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000165,0,1.9381527919064854,0.6929142475128174,0.12322482466697693,0.8502674102783203,0.5563217997550964,0.6968323588371277
test_B_00000165,1,1.8113423051908761,0.6384235620498657,0.10497802495956421,0.7625649571418762,0.47690579295158386,0.6426266431808472
test_B_00000165,2,654.2149761211637,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000168,0,0.5143594646113391,0.9520288705825806,0.18338154256343842,0.9611067175865173,0.8609659671783447,0.9530928730964661
test_B_00000168,1,474.90759659982217,0.9056596159934998,0.22694450616836548,0.9260879158973694,0.7847643494606018,0.9068969488143921
test_B_00000169,0,0.677074961410347,0.8623228669166565,0.2702353298664093,0.9382657408714294,0.6725900769233704,0.8708338141441345
test_B_00000169,1,593.7982705848787,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000172,0,304.14392214041595,0.7313176393508911,0.5835073590278625,0.8433201909065247,0.3838364779949188,0.7357874512672424
test_B_00000172,1,1.1945834937109525,0.8570370078086853,0.572258472442627,0.9304254055023193,0.5928201079368591,0.8608384728431702
test_B_00000173,0,0.6584564823133023,0.837505042552948,0.1844363808631897,0.9122815728187561,0.6816022396087646,0.8428610563278198
test_B_00000173,1,884.3899664474496,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000170,0,1.0093943837523283,0.4278475046157837,0.25046589970588684,0.6917369365692139,0.18167859315872192,0.43720948696136475
test_B_00000170,1,587.3784697228939,0.4289662539958954,0.19730150699615479,0.592856764793396,0.1791498363018036,0.43905141949653625
test_B_00000170,2,867.4935927527617,0.03306947275996208,0.02844253182411194,0.05652995407581329,0.03419435769319534,0.033392470329999924
test_B_00000171,0,0.7598823384695648,0.640097439289093,0.12485300004482269,0.8223574757575989,0.2969281077384949,0.6421752572059631
test_B_00000171,1,208.7278263442482,0.1550072878599167,0.07952539622783661,0.31249794363975525,0.06187659874558449,0.15629088878631592
test_B_00000174,0,0.895925657214388,0.7152808308601379,0.11951983720064163,0.8180537819862366,0.4568854570388794,0.7188957929611206
test_B_00000174,1,1088.7910423076262,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000175,0,0.9663939901219203,0.42389610409736633,0.04666227847337723,0.6104478240013123,0.2387053668498993,0.4241291284561157
test_B_00000175,1,504.86571137874705,0.23634874820709229,0.033856071531772614,0.36009886860847473,0.1960504949092865,0.24104295670986176
test_B_00000175,2,879.7928165647921,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000178,0,0.4564733087695146,0.563154935836792,0.05856044590473175,0.703599214553833,0.4226425290107727,0.562921404838562
test_B_00000178,1,985.6814143313006,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000179,0,0.6411294783096032,0.24437549710273743,0.051204562187194824,0.3418627679347992,0.1513095647096634,0.24504896998405457
test_B_00000179,1,1026.763470186698,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000179,2,653.2390956925257,0.16301217675209045,0.028277035802602768,0.147356316447258,0.1654411107301712,0.1643751561641693
test_B_00000176,0,66.02806532750976,0.6880275011062622,0.17183654010295868,0.6927180290222168,0.6154463291168213,0.6937551498413086
test_B_00000176,1,1202.2353558710538,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000176,2,840.1284440676268,0.6507681012153625,0.2072976678609848,0.5127454400062561,0.5994688272476196,0.6606165170669556
test_B_00000177,0,0.704236129302003,0.4797998368740082,0.3138665556907654,0.7621005177497864,0.31161579489707947,0.4877120554447174
test_B_00000177,1,0.5571789826999349,0.40167149901390076,0.25079405307769775,0.6799157857894897,0.24101579189300537,0.4098254144191742
test_B_00000177,2,0.8007110737266931,0.11095646768808365,0.06903654336929321,0.2756548225879669,0.061905376613140106,0.11427179723978043
test_B_00000180,0,0.852418692758053,0.869086742401123,0.40485236048698425,0.9216632843017578,0.7592329978942871,0.8685247898101807
test_B_00000180,1,1.5578087422764322,0.37913402915000916,0.09838296473026276,0.34892818331718445,0.46754691004753113,0.37887880206108093
test_B_00000181,0,0.7846511940071091,0.7649533152580261,0.12944932281970978,0.8822805285453796,0.6174081563949585,0.7684317827224731
test_B_00000181,1,0.33108713449840854,0.7555093765258789,0.12425768375396729,0.8637351393699646,0.6008166670799255,0.7582529187202454
test_B_00000181,2,326.50008425909533,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000182,0,1.9066299269774372,0.7484046816825867,0.06774769723415375,0.8316999673843384,0.4319613575935364,0.7490357160568237
test_B_00000182,1,951.543705808308,-1.0,-1.0,-1.0,-1.0,-1.0
test_B_00000183,0,203.92216073588116,0.1102689728140831,0.0384499616920948,0.19981898367404938,0.045677874237298965,0.11019931733608246
test_B_00000183,1,200.76953081304714,0.09671694785356522,0.028086179867386818,0.1797770857810974,0.04324646666646004,0.09575881063938141
