device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 20000 of 84500 pairs per epoch (7.1 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 0.0001, epoch counter from 0)
resumed from weights/driftsense_p6.pt (epoch 0, best 0.299px)
  e3 [250/1250] loss 0.422 focal 0.312 off 0.1101 | batch median err 1.6px | 75.5 img/s | lr 8.16e-05
  e3 [300/1250] loss 0.420 focal 0.310 off 0.1104 | batch median err 1.7px | 75.7 img/s | lr 8.26e-05
  e3 [350/1250] loss 0.418 focal 0.307 off 0.1115 | batch median err 1.2px | 75.8 img/s | lr 8.36e-05
  e3 [400/1250] loss 0.420 focal 0.308 off 0.1115 | batch median err 0.9px | 75.9 img/s | lr 8.46e-05
  e3 [450/1250] loss 0.418 focal 0.307 off 0.1103 | batch median err 27.5px | 75.9 img/s | lr 8.56e-05
  e3 [500/1250] loss 0.423 focal 0.312 off 0.1109 | batch median err 2.0px | 76.0 img/s | lr 8.65e-05
  e3 [550/1250] loss 0.423 focal 0.311 off 0.1113 | batch median err 1.7px | 76.0 img/s | lr 8.75e-05
  e3 [600/1250] loss 0.420 focal 0.309 off 0.1108 | batch median err 1.4px | 76.1 img/s | lr 8.83e-05
  e3 [650/1250] loss 0.418 focal 0.307 off 0.1109 | batch median err 2.1px | 76.1 img/s | lr 8.92e-05
  e3 [700/1250] loss 0.418 focal 0.307 off 0.1110 | batch median err 1.4px | 76.1 img/s | lr 9.00e-05
  e3 [750/1250] loss 0.417 focal 0.306 off 0.1111 | batch median err 1.8px | 76.1 img/s | lr 9.08e-05
  e3 [800/1250] loss 0.419 focal 0.307 off 0.1119 | batch median err 1.4px | 76.2 img/s | lr 9.16e-05
  e3 [850/1250] loss 0.416 focal 0.305 off 0.1113 | batch median err 2.3px | 76.2 img/s | lr 9.24e-05
  e3 [900/1250] loss 0.415 focal 0.304 off 0.1116 | batch median err 1.8px | 76.2 img/s | lr 9.31e-05
  e3 [950/1250] loss 0.418 focal 0.306 off 0.1117 | batch median err 1.1px | 76.2 img/s | lr 9.37e-05
  e3 [1000/1250] loss 0.417 focal 0.306 off 0.1113 | batch median err 1.7px | 76.2 img/s | lr 9.44e-05
  e3 [1050/1250] loss 0.418 focal 0.307 off 0.1110 | batch median err 2.1px | 76.2 img/s | lr 9.50e-05
  e3 [1100/1250] loss 0.418 focal 0.307 off 0.1110 | batch median err 1.5px | 76.2 img/s | lr 9.56e-05
  e3 [1150/1250] loss 0.417 focal 0.306 off 0.1109 | batch median err 1.6px | 76.2 img/s | lr 9.61e-05
  e3 [1200/1250] loss 0.417 focal 0.306 off 0.1108 | batch median err 1.1px | 76.3 img/s | lr 9.66e-05
  e3 [1250/1250] loss 0.416 focal 0.306 off 0.1107 | batch median err 1.4px | 76.3 img/s | lr 9.71e-05
epoch 3: loss 0.4163 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e4 [50/1250] loss 0.431 focal 0.317 off 0.1148 | batch median err 1.7px | 72.1 img/s | lr 9.76e-05
  e4 [100/1250] loss 0.404 focal 0.297 off 0.1067 | batch median err 2.4px | 74.2 img/s | lr 9.80e-05
  e4 [150/1250] loss 0.402 focal 0.298 off 0.1043 | batch median err 1.0px | 75.0 img/s | lr 9.83e-05
  e4 [200/1250] loss 0.395 focal 0.291 off 0.1042 | batch median err 1.9px | 75.3 img/s | lr 9.87e-05
  e4 [250/1250] loss 0.399 focal 0.295 off 0.1044 | batch median err 1.4px | 75.6 img/s | lr 9.90e-05
  e4 [300/1250] loss 0.407 focal 0.301 off 0.1057 | batch median err 1.4px | 75.7 img/s | lr 9.92e-05
